"iden"	"k"	"D"	"call.sag"	"call.gm"	"ppv"
"is.gm"	31	1	2	0	145886	0.997217911998523
"is.sag"	32	1	2	592	408	1
"is.gm"	32	1	2	0	145886	0.997211095465296
"is.sag"	33	1	2	589	411	1
"is.gm"	33	1	2	0	145886	0.997190646424739
"is.sag"	34	1	2	587	413	1
"is.gm"	34	1	2	0	145886	0.997177014196953
"is.sag"	35	1	2	579	421	1
"is.gm"	35	1	2	0	145886	0.997122489012829
"is.sag"	36	1	2	574	426	1
"is.gm"	36	1	2	0	145886	0.997088413800645
"is.sag"	37	1	2	572	428	1
"is.gm"	37	1	2	0	145886	0.997074784367866
"is.sag"	38	1	2	571	429	1
"is.gm"	38	1	2	0	145886	0.997067969791204
"is.sag"	39	1	2	568	432	1
"is.gm"	39	1	2	0	145886	0.997047526620101
"is.sag"	40	1	2	563	437	1
"is.gm"	40	1	2	0	145886	0.997013456531099
"is.sag"	15	2	2	990	10	0.396634615384615
"is.gm"	15	2	2	1506	144380	0.999930743126255
"is.sag"	16	2	2	990	10	0.403258655804481
"is.gm"	16	2	2	1465	144421	0.999930762786382
"is.sag"	17	2	2	972	28	0.468433734939759
"is.gm"	17	2	2	1103	144783	0.999806644522861
"is.sag"	18	2	2	898	102	0.621453287197232
"is.gm"	18	2	2	547	145339	0.999298684690012
"is.sag"	19	2	2	803	197	0.77063339731286
"is.gm"	19	2	2	239	145647	0.998649241655468
"is.sag"	20	2	2	747	253	0.866589327146172
"is.gm"	20	2	2	115	145771	0.998267408097299
"is.sag"	21	2	2	720	280	0.941176470588235
"is.gm"	21	2	2	45	145841	0.998083779881057
"is.sag"	22	2	2	702	298	0.955102040816327
"is.gm"	22	2	2	33	145853	0.997961012924989
"is.sag"	23	2	2	692	308	0.963788300835655
"is.gm"	23	2	2	26	145860	0.99789283564118
"is.sag"	24	2	2	690	310	0.982905982905983
"is.gm"	24	2	2	12	145874	0.997879384884803
"is.sag"	25	2	2	684	316	0.991304347826087
"is.gm"	25	2	2	6	145880	0.997838518153711
"is.sag"	26	2	2	677	323	0.99266862170088
"is.gm"	26	2	2	5	145881	0.997790758118793
"is.sag"	27	2	2	674	326	0.994100294985251
"is.gm"	27	2	2	4	145882	0.997770299846794
"is.sag"	28	2	2	673	327	0.994091580502216
"is.gm"	28	2	2	4	145882	0.997763475572639
"is.sag"	29	2	2	669	331	0.99405646359584
"is.gm"	29	2	2	4	145882	0.997736179409492
"is.sag"	30	2	2	666	334	0.994029850746269
"is.gm"	30	2	2	4	145882	0.997715708267221
"is.sag"	31	2	2	664	336	0.994011976047904
"is.gm"	31	2	2	4	145882	0.997702061305722
"is.sag"	32	2	2	663	337	0.995495495495496
"is.gm"	32	2	2	3	145883	0.99769525372726
"is.sag"	33	2	2	660	340	0.996978851963746
"is.gm"	33	2	2	2	145884	0.997674800306379
"is.sag"	34	2	2	658	342	0.998482549317147
"is.gm"	34	2	2	1	145885	0.99766117064564
"is.sag"	35	2	2	650	350	0.998463901689708
"is.gm"	35	2	2	1	145885	0.997606592129107
"is.sag"	36	2	2	645	355	0.998452012383901
"is.gm"	36	2	2	1	145885	0.997572483588621
"is.sag"	37	2	2	642	358	0.998444790046656
"is.gm"	37	2	2	1	145885	0.997552019583843
"is.sag"	38	2	2	641	359	1
"is.gm"	38	2	2	0	145886	0.997545215221033
"is.sag"	39	2	2	638	362	1
"is.gm"	39	2	2	0	145886	0.997524752475248
"is.sag"	40	2	2	633	367	1
"is.gm"	40	2	2	0	145886	0.997490649764449
"is.sag"	15	1	3	922	78	0.988210075026795
"is.gm"	15	1	3	11	145875	0.999465581385789
"is.sag"	16	1	3	922	78	0.988210075026795
"is.gm"	16	1	3	11	145875	0.999465581385789
"is.sag"	17	1	3	909	91	0.99235807860262
"is.gm"	17	1	3	7	145879	0.999376584229636
"is.sag"	18	1	3	854	146	0.995337995337995
"is.gm"	18	1	3	4	145882	0.999000191744049
"is.sag"	19	1	3	765	235	0.99609375
"is.gm"	19	1	3	3	145883	0.998391710809072
"is.sag"	20	1	3	711	289	0.995798319327731
"is.gm"	20	1	3	3	145883	0.998022877158416
"is.sag"	21	1	3	684	316	1
"is.gm"	21	1	3	0	145886	0.997838606859003
"is.sag"	22	1	3	666	334	1
"is.gm"	22	1	3	0	145886	0.997715770756395
"is.sag"	23	1	3	656	344	1
"is.gm"	23	1	3	0	145886	0.997647541544143
"is.sag"	24	1	3	655	345	1
"is.gm"	24	1	3	0	145886	0.997640719136161
"is.sag"	25	1	3	651	349	1
"is.gm"	25	1	3	0	145886	0.99761343043731
"is.sag"	26	1	3	644	356	1
"is.gm"	26	1	3	0	145886	0.997565678806362
"is.sag"	27	1	3	641	359	1
"is.gm"	27	1	3	0	145886	0.997545215221033
"is.sag"	28	1	3	640	360	1
"is.gm"	28	1	3	0	145886	0.997538394212491
"is.sag"	29	1	3	636	364	1
"is.gm"	29	1	3	0	145886	0.997511111111111
"is.sag"	30	1	3	633	367	1
"is.gm"	30	1	3	0	145886	0.997490649764449
"is.sag"	31	1	3	631	369	1
"is.gm"	31	1	3	0	145886	0.997477009333014
"is.sag"	32	1	3	630	370	1
"is.gm"	32	1	3	0	145886	0.997470189257193
"is.sag"	33	1	3	627	373	1
"is.gm"	33	1	3	0	145886	0.99744972958929
"is.sag"	34	1	3	625	375	1
"is.gm"	34	1	3	0	145886	0.997436090276971
"is.sag"	35	1	3	617	383	1
"is.gm"	35	1	3	0	145886	0.997381536757618
"is.sag"	36	1	3	612	388	1
"is.gm"	36	1	3	0	145886	0.997347443838276
"is.sag"	37	1	3	609	391	1
"is.gm"	37	1	3	0	145886	0.997326989205412
"is.sag"	38	1	3	608	392	1
"is.gm"	38	1	3	0	145886	0.997320171180902
"is.sag"	39	1	3	605	395	1
"is.gm"	39	1	3	0	145886	0.997299717666683
"is.sag"	40	1	3	600	400	1
"is.gm"	40	1	3	0	145886	0.997265630340566
"is.sag"	15	2	3	997	3	0.237098692033294
"is.gm"	15	2	3	3208	142678	0.999978974075035
"is.sag"	16	2	3	997	3	0.24370569542899
"is.gm"	16	2	3	3094	142792	0.999978990861025
"is.sag"	17	2	3	976	24	0.306436420722135
"is.gm"	17	2	3	2209	143677	0.999832986548458
"is.sag"	18	2	3	902	98	0.470526864893062
"is.gm"	18	2	3	1015	144871	0.999323993405487
"is.sag"	19	2	3	805	195	0.662006578947368
"is.gm"	19	2	3	411	145475	0.998661357863665
"is.sag"	20	2	3	749	251	0.793432203389831
"is.gm"	20	2	3	195	145691	0.998280138685231
"is.sag"	21	2	3	722	278	0.901373283395755
"is.gm"	21	2	3	79	145807	0.998096998322894
"is.sag"	22	2	3	704	296	0.931216931216931
"is.gm"	22	2	3	52	145834	0.99797440635051
"is.sag"	23	2	3	694	306	0.942934782608696
"is.gm"	23	2	3	42	145844	0.997906260691071
"is.sag"	24	2	3	692	308	0.97054698457223
"is.gm"	24	2	3	21	145865	0.997892907718936
"is.sag"	25	2	3	686	314	0.98140200286123
"is.gm"	25	2	3	13	145873	0.997852066189196
"is.sag"	26	2	3	679	321	0.984057971014493
"is.gm"	26	2	3	11	145875	0.997804317491587
"is.sag"	27	2	3	676	324	0.989751098096633
"is.gm"	27	2	3	7	145879	0.997783903203081
"is.sag"	28	2	3	675	325	0.989736070381232
"is.gm"	28	2	3	7	145879	0.997777078602501
"is.sag"	29	2	3	671	329	0.991137370753324
"is.gm"	29	2	3	6	145880	0.997749796524154
"is.sag"	30	2	3	668	332	0.991097922848665
"is.gm"	30	2	3	6	145880	0.997729324542445
"is.sag"	31	2	3	666	334	0.992548435171386
"is.gm"	31	2	3	5	145881	0.997715692644394
"is.sag"	32	2	3	665	335	0.994020926756353
"is.gm"	32	2	3	4	145882	0.997708884739805
"is.sag"	33	2	3	662	338	0.996987951807229
"is.gm"	33	2	3	2	145884	0.997688446335025
"is.sag"	34	2	3	660	340	0.998487140695915
"is.gm"	34	2	3	1	145885	0.997674816207899
"is.sag"	35	2	3	652	348	0.998468606431853
"is.gm"	35	2	3	1	145885	0.997620236198396
"is.sag"	36	2	3	647	353	0.998456790123457
"is.gm"	36	2	3	1	145885	0.997586126724928
"is.sag"	37	2	3	644	356	0.998449612403101
"is.gm"	37	2	3	1	145885	0.997565662160406
"is.sag"	38	2	3	643	357	1
"is.gm"	38	2	3	0	145886	0.997558857517967
"is.sag"	39	2	3	640	360	1
"is.gm"	39	2	3	0	145886	0.997538394212491
"is.sag"	40	2	3	635	365	1
"is.gm"	40	2	3	0	145886	0.997504290568953
