"iden"	"k"	"D"	"call.sag"	"call.gm"	"ppv"
"is.sag"	25	1	2	790	210	0.839532412327311
"is.gm"	25	1	2	151	145735	0.998561101784919
"is.sag"	26	1	2	790	210	0.841320553780618
"is.gm"	26	1	2	149	145737	0.998561121503011
"is.sag"	27	1	2	790	210	0.849462365591398
"is.gm"	27	1	2	140	145746	0.99856121022774
"is.sag"	28	1	2	790	210	0.853131749460043
"is.gm"	28	1	2	136	145750	0.99856124965744
"is.sag"	29	1	2	790	210	0.857763300760043
"is.gm"	29	1	2	131	145755	0.998561298941527
"is.sag"	30	1	2	790	210	0.87292817679558
"is.gm"	30	1	2	115	145771	0.998561456627917
"is.sag"	31	1	2	790	210	0.880713489409142
"is.gm"	31	1	2	107	145779	0.998561535458151
"is.sag"	32	1	2	790	210	0.885650224215247
"is.gm"	32	1	2	102	145784	0.99856158472266
"is.sag"	33	1	2	790	210	0.893665158371041
"is.gm"	33	1	2	94	145792	0.998561663538856
"is.sag"	34	1	2	790	210	0.898748577929465
"is.gm"	34	1	2	89	145797	0.998561712794592
"is.sag"	35	1	2	790	210	0.903890160183066
"is.gm"	35	1	2	84	145802	0.998561762046955
"is.sag"	36	1	2	790	210	0.916473317865429
"is.gm"	36	1	2	72	145814	0.998561880238865
"is.sag"	37	1	2	790	210	0.918604651162791
"is.gm"	37	1	2	70	145816	0.998561899935628
"is.sag"	38	1	2	790	210	0.919674039580908
"is.gm"	38	1	2	69	145817	0.998561909783807
"is.sag"	39	1	2	790	210	0.929411764705882
"is.gm"	39	1	2	60	145826	0.998561998411351
"is.sag"	40	1	2	790	210	0.931603773584906
"is.gm"	40	1	2	58	145828	0.998562018104877
"is.sag"	15	2	2	985	15	0.273839310536558
"is.gm"	15	2	2	2612	143274	0.999895316458346
"is.sag"	16	2	2	985	15	0.275524475524476
"is.gm"	16	2	2	2590	143296	0.999895332528557
"is.sag"	17	2	2	985	15	0.3029836973239
"is.gm"	17	2	2	2266	143620	0.999895568628816
"is.sag"	18	2	2	985	15	0.41110183639399
"is.gm"	18	2	2	1411	144475	0.999896186587307
"is.sag"	19	2	2	985	15	0.571345707656613
"is.gm"	19	2	2	739	145147	0.999896667171849
"is.sag"	20	2	2	985	15	0.702567760342368
"is.gm"	20	2	2	417	145469	0.999896895878585
"is.sag"	21	2	2	985	15	0.778041074249605
"is.gm"	21	2	2	281	145605	0.999896992171405
"is.sag"	22	2	2	985	15	0.812036273701566
"is.gm"	22	2	2	228	145658	0.999897029648597
"is.sag"	23	2	2	985	15	0.82220367278798
"is.gm"	23	2	2	213	145673	0.999897040250398
"is.sag"	24	2	2	985	15	0.833333333333333
"is.gm"	24	2	2	197	145689	0.99989705155658
"is.sag"	25	2	2	985	15	0.841161400512383
"is.gm"	25	2	2	186	145700	0.999897059328141
"is.sag"	26	2	2	985	15	0.842600513259196
"is.gm"	26	2	2	184	145702	0.999897060741025
"is.sag"	27	2	2	985	15	0.852813852813853
"is.gm"	27	2	2	170	145716	0.999897070630134
"is.sag"	28	2	2	985	15	0.855777584708949
"is.gm"	28	2	2	166	145720	0.999897073455244
"is.sag"	29	2	2	985	15	0.861013986013986
"is.gm"	29	2	2	159	145727	0.999897078398814
"is.sag"	30	2	2	985	15	0.874777975133215
"is.gm"	30	2	2	141	145745	0.999897091108672
"is.sag"	31	2	2	985	15	0.881826320501343
"is.gm"	31	2	2	132	145754	0.999897097462423
"is.sag"	32	2	2	985	15	0.885791366906475
"is.gm"	32	2	2	127	145759	0.999897100991946
"is.sag"	33	2	2	985	15	0.893019038984587
"is.gm"	33	2	2	118	145768	0.999897107344478
"is.sag"	34	2	2	985	15	0.897903372835005
"is.gm"	34	2	2	112	145774	0.999897111579063
"is.sag"	35	2	2	985	15	0.902841429880843
"is.gm"	35	2	2	106	145780	0.9998971158133
"is.sag"	36	2	2	985	15	0.916279069767442
"is.gm"	36	2	2	90	145796	0.999897127102893
"is.sag"	37	2	2	985	15	0.920560747663551
"is.gm"	37	2	2	85	145801	0.999897130630384
"is.sag"	38	2	2	985	15	0.922284644194757
"is.gm"	38	2	2	83	145803	0.999897132041312
"is.sag"	39	2	2	985	15	0.931001890359168
"is.gm"	39	2	2	73	145813	0.999897139095373
"is.sag"	40	2	2	985	15	0.933649289099526
"is.gm"	40	2	2	70	145816	0.999897141211402
"is.sag"	15	1	3	888	112	0.325274725274725
"is.gm"	15	1	3	1842	144044	0.999223063902994
"is.sag"	16	1	3	888	112	0.32755440796754
"is.gm"	16	1	3	1823	144063	0.999223166290966
"is.sag"	17	1	3	888	112	0.357631896898913
"is.gm"	17	1	3	1595	144291	0.999224392845024
"is.sag"	18	1	3	888	112	0.466141732283465
"is.gm"	18	1	3	1017	144869	0.999227484980791
"is.sag"	19	1	3	888	112	0.611149346180317
"is.gm"	19	1	3	565	145321	0.999229885926853
"is.sag"	20	1	3	888	112	0.727868852459016
"is.gm"	20	1	3	332	145554	0.999231117762553
"is.sag"	21	1	3	888	112	0.790035587188612
"is.gm"	21	1	3	236	145650	0.999231624154444
"is.sag"	22	1	3	888	112	0.816927322907084
"is.gm"	22	1	3	199	145687	0.99923181914828
"is.sag"	23	1	3	888	112	0.822984244670992
"is.gm"	23	1	3	191	145695	0.999231861296097
"is.sag"	24	1	3	888	112	0.834586466165414
"is.gm"	24	1	3	176	145710	0.99923194031079
"is.sag"	25	1	3	888	112	0.840113528855251
"is.gm"	25	1	3	169	145717	0.99923197717875
"is.sag"	26	1	3	888	112	0.841706161137441
"is.gm"	26	1	3	167	145719	0.999231987711803
"is.sag"	27	1	3	888	112	0.850574712643678
"is.gm"	27	1	3	156	145730	0.999232045638431
"is.sag"	28	1	3	888	112	0.853846153846154
"is.gm"	28	1	3	152	145734	0.999232066700492
"is.sag"	29	1	3	888	112	0.859632139399806
"is.gm"	29	1	3	145	145741	0.99923210355632
"is.sag"	30	1	3	888	112	0.874015748031496
"is.gm"	30	1	3	128	145758	0.999232193048605
"is.sag"	31	1	3	888	112	0.880952380952381
"is.gm"	31	1	3	120	145766	0.999232235155404
"is.sag"	32	1	3	888	112	0.885343968095713
"is.gm"	32	1	3	115	145771	0.999232261469808
"is.sag"	33	1	3	888	112	0.892462311557789
"is.gm"	33	1	3	107	145779	0.999232303569103
"is.sag"	34	1	3	888	112	0.896969696969697
"is.gm"	34	1	3	102	145784	0.999232329878818
"is.sag"	35	1	3	888	112	0.901522842639594
"is.gm"	35	1	3	97	145789	0.999232356186729
"is.sag"	36	1	3	888	112	0.914521112255407
"is.gm"	36	1	3	83	145803	0.99923242983929
"is.sag"	37	1	3	888	112	0.91640866873065
"is.gm"	37	1	3	81	145805	0.999232440359931
"is.sag"	38	1	3	888	112	0.918304033092037
"is.gm"	38	1	3	79	145807	0.999232450880283
"is.sag"	39	1	3	888	112	0.926931106471816
"is.gm"	39	1	3	70	145816	0.999232498218299
"is.sag"	40	1	3	888	112	0.928870292887029
"is.gm"	40	1	3	68	145818	0.999232508737066
"is.sag"	15	2	3	998	2	0.222271714922049
"is.gm"	15	2	3	3492	142394	0.999985954661648
"is.sag"	16	2	3	998	2	0.224269662921348
"is.gm"	16	2	3	3452	142434	0.99998595860597
"is.sag"	17	2	3	998	2	0.251575497857323
"is.gm"	17	2	3	2969	142917	0.999986006059376
"is.sag"	18	2	3	998	2	0.351037636299683
"is.gm"	18	2	3	1845	144041	0.99998611525725
"is.sag"	19	2	3	998	2	0.520333680917623
"is.gm"	19	2	3	920	144966	0.999986203851885
"is.sag"	20	2	3	998	2	0.673869007427414
"is.gm"	20	2	3	483	145403	0.99998624531481
"is.sag"	21	2	3	998	2	0.766513056835638
"is.gm"	21	2	3	304	145582	0.999986262226618
"is.sag"	22	2	3	998	2	0.808752025931929
"is.gm"	22	2	3	236	145650	0.999986268640321
"is.sag"	23	2	3	998	2	0.822075782537068
"is.gm"	23	2	3	216	145670	0.999986270525564
"is.sag"	24	2	3	998	2	0.83375104427736
"is.gm"	24	2	3	199	145687	0.999986272127614
"is.sag"	25	2	3	998	2	0.841483979763912
"is.gm"	25	2	3	188	145698	0.999986273164036
"is.sag"	26	2	3	998	2	0.842905405405405
"is.gm"	26	2	3	186	145700	0.999986273352459
"is.sag"	27	2	3	998	2	0.852991452991453
"is.gm"	27	2	3	172	145714	0.999986274671278
"is.sag"	28	2	3	998	2	0.856652360515021
"is.gm"	28	2	3	167	145719	0.999986275142224
"is.sag"	29	2	3	998	2	0.861830742659758
"is.gm"	29	2	3	160	145726	0.999986275801493
"is.sag"	30	2	3	998	2	0.875438596491228
"is.gm"	30	2	3	142	145744	0.999986277496466
"is.sag"	31	2	3	998	2	0.882404951370469
"is.gm"	31	2	3	133	145753	0.999986278343796
"is.sag"	32	2	3	998	2	0.886323268206039
"is.gm"	32	2	3	128	145758	0.99998627881449
"is.sag"	33	2	3	998	2	0.893464637421665
"is.gm"	33	2	3	119	145767	0.999986279661656
"is.sag"	34	2	3	998	2	0.898289828982898
"is.gm"	34	2	3	113	145773	0.999986280226376
"is.sag"	35	2	3	998	2	0.90316742081448
"is.gm"	35	2	3	107	145779	0.99998628079105
"is.sag"	36	2	3	998	2	0.91643709825528
"is.gm"	36	2	3	91	145795	0.999986282296618
"is.sag"	37	2	3	998	2	0.920664206642066
"is.gm"	37	2	3	86	145800	0.99998628276704
"is.sag"	38	2	3	998	2	0.922365988909427
"is.gm"	38	2	3	84	145802	0.9999862829552
"is.sag"	39	2	3	998	2	0.930970149253731
"is.gm"	39	2	3	74	145812	0.999986283895922
"is.sag"	40	2	3	998	2	0.933582787652011
"is.gm"	40	2	3	71	145815	0.999986284178114
