"iden"	"k"	"D"	"call.sag"	"call.gm"	"ppv"
"is.sag"	25	1	2	298	702	0.803234501347709
"is.gm"	25	1	2	73	145813	0.995208681704945
"is.sag"	26	1	2	289	711	0.805013927576602
"is.gm"	26	1	2	70	145816	0.995147651968579
"is.sag"	27	1	2	272	728	0.807121661721068
"is.gm"	27	1	2	65	145821	0.995032378248913
"is.sag"	28	1	2	264	736	0.812307692307692
"is.gm"	28	1	2	61	145825	0.994978200203328
"is.sag"	29	1	2	261	739	0.823343848580442
"is.gm"	29	1	2	56	145830	0.994958006126807
"is.sag"	30	1	2	216	784	0.815094339622642
"is.gm"	30	1	2	49	145837	0.994652880555991
"is.sag"	31	1	2	214	786	0.816793893129771
"is.gm"	31	1	2	48	145838	0.994639349628983
"is.sag"	32	1	2	209	791	0.829365079365079
"is.gm"	32	1	2	43	145843	0.994605616705539
"is.sag"	33	1	2	189	811	0.828947368421053
"is.gm"	33	1	2	39	145847	0.994470127780278
"is.sag"	34	1	2	184	816	0.836363636363636
"is.gm"	34	1	2	36	145850	0.994436338346993
"is.sag"	35	1	2	170	830	0.833333333333333
"is.gm"	35	1	2	34	145852	0.994341500661294
"is.sag"	36	1	2	152	848	0.853932584269663
"is.gm"	36	1	2	26	145860	0.994219810780598
"is.sag"	37	1	2	140	860	0.843373493975904
"is.gm"	37	1	2	26	145860	0.994138495092694
"is.sag"	38	1	2	138	862	0.851851851851852
"is.gm"	38	1	2	24	145862	0.994125023854311
"is.sag"	39	1	2	124	876	0.867132867132867
"is.gm"	39	1	2	19	145867	0.994030379643322
"is.sag"	40	1	2	116	884	0.859259259259259
"is.gm"	40	1	2	19	145867	0.993976190962924
"is.sag"	15	2	2	994	6	0.293042452830189
"is.gm"	15	2	2	2398	143488	0.999958186405006
"is.sag"	16	2	2	994	6	0.293822051433639
"is.gm"	16	2	2	2389	143497	0.999958189027407
"is.sag"	17	2	2	981	19	0.304563800062092
"is.gm"	17	2	2	2240	143646	0.999867747885706
"is.sag"	18	2	2	953	47	0.358540255831452
"is.gm"	18	2	2	1705	144181	0.999674127076573
"is.sag"	19	2	2	799	201	0.443150305047144
"is.gm"	19	2	2	1004	144882	0.998614586133455
"is.sag"	20	2	2	604	396	0.536412078152753
"is.gm"	20	2	2	522	145364	0.997283205268935
"is.sag"	21	2	2	459	541	0.6375
"is.gm"	21	2	2	261	145625	0.996298728842549
"is.sag"	22	2	2	404	596	0.692967409948542
"is.gm"	22	2	2	179	145707	0.995926262619358
"is.sag"	23	2	2	375	625	0.73385518590998
"is.gm"	23	2	2	136	145750	0.995730145175064
"is.sag"	24	2	2	341	659	0.766292134831461
"is.gm"	24	2	2	104	145782	0.995499894155325
"is.sag"	25	2	2	338	662	0.786046511627907
